"","Resultat","Kontor","Kon","Alder","Utbildare"
"1","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"2","Underkänd","Sollentuna","Man",18,"Privatist"
"3","Godkänd","Sollentuna","Kvinna",18,"Trafikskola"
"4","Godkänd","Sollentuna","Man",18,"Trafikskola"
"5","Godkänd","Sollentuna","Kvinna",18,"Trafikskola"
"6","Godkänd","Sollentuna","Kvinna",18,"Trafikskola"
"7","Underkänd","Sollentuna","Kvinna",18,"Privatist"
"8","Underkänd","Sollentuna","Man",18,"Trafikskola"
"9","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"10","Godkänd","Sollentuna","Man",18,"Privatist"
"11","Godkänd","Sollentuna","Man",18,"Trafikskola"
"12","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"13","Godkänd","Sollentuna","Man",18,"Privatist"
"14","Underkänd","Sollentuna","Kvinna",18,"Privatist"
"15","Godkänd","Sollentuna","Man",18,"Privatist"
"16","Underkänd","Sollentuna","Kvinna",18,"Trafikskola"
"17","Godkänd","Sollentuna","Man",18,"Privatist"
"18","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"19","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"20","Godkänd","Sollentuna","Kvinna",18,"Trafikskola"
"21","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"22","Godkänd","Sollentuna","Man",18,"Trafikskola"
"23","Underkänd","Sollentuna","Man",18,"Privatist"
"24","Underkänd","Sollentuna","Man",18,"Privatist"
"25","Underkänd","Sollentuna","Man",18,"Trafikskola"
"26","Godkänd","Sollentuna","Kvinna",18,"Trafikskola"
"27","Godkänd","Sollentuna","Man",18,"Privatist"
"28","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"29","Underkänd","Sollentuna","Man",18,"Privatist"
"30","Underkänd","Sollentuna","Kvinna",18,"Privatist"
"31","Godkänd","Sollentuna","Man",18,"Trafikskola"
"32","Godkänd","Sollentuna","Man",18,"Trafikskola"
"33","Godkänd","Sollentuna","Man",18,"Privatist"
"34","Underkänd","Sollentuna","Man",18,"Privatist"
"35","Underkänd","Sollentuna","Kvinna",18,"Privatist"
"36","Godkänd","Sollentuna","Man",18,"Privatist"
"37","Godkänd","Sollentuna","Man",18,"Privatist"
"38","Godkänd","Sollentuna","Man",18,"Trafikskola"
"39","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"40","Underkänd","Sollentuna","Man",18,"Privatist"
"41","Underkänd","Sollentuna","Man",18,"Privatist"
"42","Godkänd","Sollentuna","Kvinna",18,"Trafikskola"
"43","Underkänd","Sollentuna","Man",18,"Privatist"
"44","Underkänd","Sollentuna","Man",18,"Trafikskola"
"45","Godkänd","Sollentuna","Man",18,"Privatist"
"46","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"47","Godkänd","Sollentuna","Man",18,"Trafikskola"
"48","Godkänd","Sollentuna","Man",18,"Trafikskola"
"49","Godkänd","Sollentuna","Man",18,"Privatist"
"50","Underkänd","Sollentuna","Man",18,"Privatist"
"51","Godkänd","Sollentuna","Man",18,"Privatist"
"52","Godkänd","Sollentuna","Man",18,"Privatist"
"53","Godkänd","Sollentuna","Man",18,"Privatist"
"54","Underkänd","Sollentuna","Man",18,"Privatist"
"55","Godkänd","Sollentuna","Man",18,"Privatist"
"56","Underkänd","Sollentuna","Man",18,"Trafikskola"
"57","Godkänd","Sollentuna","Man",18,"Privatist"
"58","Underkänd","Sollentuna","Kvinna",18,"Trafikskola"
"59","Underkänd","Sollentuna","Man",18,"Trafikskola"
"60","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"61","Godkänd","Sollentuna","Man",18,"Privatist"
"62","Underkänd","Sollentuna","Man",18,"Privatist"
"63","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"64","Godkänd","Sollentuna","Man",18,"Privatist"
"65","Underkänd","Sollentuna","Kvinna",18,"Privatist"
"66","Godkänd","Sollentuna","Man",18,"Privatist"
"67","Godkänd","Sollentuna","Kvinna",18,"Trafikskola"
"68","Underkänd","Sollentuna","Kvinna",18,"Trafikskola"
"69","Underkänd","Sollentuna","Kvinna",18,"Trafikskola"
"70","Godkänd","Sollentuna","Kvinna",18,"Trafikskola"
"71","Godkänd","Sollentuna","Man",18,"Privatist"
"72","Godkänd","Sollentuna","Kvinna",18,"Privatist"
"73","Underkänd","Sollentuna","Man",18,"Privatist"
"74","Godkänd","Sollentuna","Kvinna",18,"Trafikskola"
"75","Godkänd","Sollentuna","Man",18,"Trafikskola"
"76","Godkänd","Sollentuna","Kvinna",18,"Trafikskola"
"77","Godkänd","Sollentuna","Man",18,"Trafikskola"
"78","Godkänd","Sollentuna","Man",18,"Privatist"
"79","Underkänd","Sollentuna","Kvinna",18,"Trafikskola"
